0: n01440764: 丁鲷; tench, Tinca tinca
490: n03000247: 锁子甲; chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour
491: n03000684: 链锯; chain saw, chainsaw
492: n03014705: 箱子; chest
493: n03016953: 五斗柜; chiffonier, commode
494: n03017168: 编钟; chime, bell, gong
495: n03018349: 瓷器柜; china cabinet, china closet
496: n03026506: 圣诞袜; Christmas stocking
497: n03028079: 教堂; church, church building
498: n03032252: 电影院; cinema, movie theater, movie theatre, movie house, picture palace
499: n03041632: 剁肉刀; cleaver, meat cleaver, chopper
500: n03042490: 崖居; cliff dwelling
501: n03045698: 斗篷; cloak
502: n03047690: 木屐; clog, geta, patten, sabot
503: n03062245: 调酒器; cocktail shaker
504: n03063599: 咖啡杯; coffee mug
505: n03063689: 咖啡壶; coffeepot
506: n03065424: 螺旋; coil, spiral, volute, whorl, helix
507: n03075370: 密码锁; combination lock
508: n03085013: 电脑键盘; computer keyboard, keypad
509: n03089624: 糖果店; confectionery, confectionary, candy store
510: n03095699: 集装箱船; container ship, containership, container vessel
511: n03100240: 敞篷车; convertible
512: n03109150: 开瓶器; corkscrew, bottle screw
513: n03110669: 短号; cornet, horn, trumpet, trump
514: n03124043: 牛仔靴; cowboy boot
515: n03124170: 牛仔帽; cowboy hat, ten-gallon hat（牛仔帽）
516: n03125729: 摇篮; cradle
517: n03126707: 起重机; crane
518: n03127747: 安全头盔; crash helmet
519: n03127925: 板条箱; crate
520: n03131574: 婴儿床; crib, cot
521: n03133878: 慢炖锅; Crock Pot
522: n03134739: 槌球; croquet ball
523: n03141823: 拐杖; crutch
524: n03146219: 胸甲; cuirass
525: n03160309: 水坝; dam, dike, dyke
526: n03179701: 书桌; desk
527: n03180011: 台式电脑; desktop computer
528: n03187595: 拨号电话; dial telephone, dial phone
529: n03188531: 尿布; diaper, nappy, napkin
530: n03196217: 数字时钟; digital clock
531: n03197337: 电子表; digital watch
532: n03201208: 餐桌; dining table, board
533: n03207743: 抹布; dishrag, dishcloth
534: n03207941: 洗碗机; dishwasher, dish washer, dishwashing machine
535: n03208938: 碟刹; disk brake, disc brake
536: n03216828: 码头; dock, dockage, docking facility
537: n03218198: 狗拉雪橇; dogsled, dog sled, dog sleigh
538: n03220513: 圆顶建筑; dome
539: n03223299: 门垫; doormat, welcome mat
540: n03240683: 钻井平台; drilling platform, offshore rig
541: n03249569: 鼓; drum, membranophone, tympan
542: n03250847: 鼓槌; drumstick
543: n03255030: 哑铃; dumbbell
544: n03259280: 荷兰烤箱; Dutch oven
545: n03271574: 电风扇; electric fan, blower
546: n03272010: 电吉他; electric guitar
547: n03272562: 电力机车; electric locomotive
548: n03290653: 娱乐中心; entertainment center
549: n03291819: 信封; envelope
550: n03297495: 意式咖啡机; espresso maker
551: n03314780: 散粉; face powder
552: n03325584: 羽毛围巾; feather boa, boa
553: n03337140: 文件柜; file, file cabinet, filing cabinet
554: n03344393: 消防船; fireboat
555: n03345487: 消防车; fire engine, fire truck
556: n03347037: 防火屏障; fire screen, fireguard
557: n03355925: 旗杆; flagpole, flagstaff
558: n03372029: 长笛; flute, transverse flute
559: n03376595: 折叠椅; folding chair
560: n03379051: 橄榄球头盔; football helmet（橄榄球头盔）
561: n03384352: 叉车; forklift
562: n03388043: 喷泉; fountain
563: n03388183: 钢笔; fountain pen
564: n03388549: 四柱床; four-poster
565: n03393912: 货运车厢; freight car
566: n03394916: 圆号; French horn, horn
567: n03400231: 煎锅; frying pan, frypan, skillet
568: n03404251: 毛皮大衣; fur coat
569: n03417042: 垃圾车; garbage truck, dustcart
570: n03424325: 防毒面具; gasmask, respirator, gas helmet（防毒面具，呼吸器，防毒头盔）
571: n03425413: 加油泵; gas pump, gasoline pump, petrol pump, island dispenser
572: n03443371: 高脚杯; goblet
573: n03444034: 卡丁车; go-kart（卡丁车）
574: n03445777: 高尔夫球; golf ball
575: n03445924: 高尔夫球车; golfcart, golf cart
576: n03447447: 贡多拉; gondola
577: n03447721: 锣; gong, tam-tam
578: n03450230: 礼服; gown
579: n03452741: 三角钢琴; grand piano, grand
580: n03457902: 温室; greenhouse, nursery, glasshouse
581: n03459775: 散热格栅; grille, radiator grille
582: n03461385: 杂货店; grocery store, grocery, food market, market
583: n03467068: 断头台; guillotine
584: n03476684: 发夹; hair slide
585: n03476991: 发胶; hair spray
586: n03478589: 半履带车; half track
587: n03481172: 锤子; hammer
588: n03482405: 洗衣篮; hamper
589: n03483316: 吹风机; hand blower, blow dryer, blow drier, hair dryer, hair drier
590: n03485407: 手持计算机; hand-held computer, hand-held microcomputer
591: n03485794: 手帕; handkerchief, hankie, hanky, hankey
592: n03492542: 硬盘; hard disc, hard disk, fixed disk
593: n03494278: 口琴; harmonica, mouth organ, harp, mouth harp
594: n03495258: 竖琴; harp
595: n03496892: 收割机; harvester, reaper
596: n03498962: 短柄斧; hatchet（短柄斧头）
597: n03527444: 枪套; holster
598: n03529860: 家庭影院; home theater, home theatre
599: n03530642: 蜂巢; honeycomb
600: n03532672: 钩子; hook, claw
601: n03534580: 裙撑; hoopskirt, crinoline
602: n03535780: 单杠; horizontal bar, high bar
603: n03538406: 马车; horse cart, horse-cart
604: n03544143: 沙漏; hourglass
605: n03584254: iPod; iPod
606: n03584829: 熨斗; iron, smoothing iron
607: n03590841: 南瓜灯; jack-o'-lantern
608: n03594734: 牛仔裤; jean, blue jean, denim
609: n03594945: 吉普车; jeep, landrover
610: n03595614: T恤; jersey, T-shirt, tee shirt
611: n03598930: 拼图; jigsaw puzzle
612: n03599486: 人力车; jinrikisha, ricksha, rickshaw
613: n03602883: 操纵杆; joystick
614: n03617480: 和服; kimono
615: n03623198: 护膝; knee pad
616: n03627232: 绳结; knot
617: n03630383: 实验服; lab coat, laboratory coat（实验服，白大褂）
618: n03633091: 长柄勺; ladle
619: n03637318: 灯罩; lampshade, lamp shade
620: n03642806: 笔记本电脑; laptop, laptop computer
621: n03649909: 割草机; lawn mower, mower
622: n03657121: 镜头盖; lens cap, lens cover（相机镜头盖）
623: n03658185: 开信刀; letter opener, paper knife, paperknife
624: n03661043: 图书馆; library
625: n03662601: 救生艇; lifeboat
626: n03666591: 打火机; lighter, light, igniter, ignitor
627: n03670208: 豪华轿车; limousine, limo
628: n03673027: 远洋邮轮; liner, ocean liner
629: n03676483: 口红; lipstick, lip rouge
630: n03680355: 乐福鞋; Loafer
631: n03690938: 乳液; lotion
632: n03691459: 扬声器; loudspeaker, speaker, speaker unit, loudspeaker system, speaker system
633: n03692522: 放大镜; loupe, jeweler's loupe
634: n03697007: 锯木厂; lumbermill, sawmill
635: n03706229: 指南针; magnetic compass
636: n03709823: 邮袋; mailbag, postbag
637: n03710193: 邮箱; mailbox, letter box
638: n03710637: 泳衣; maillot
639: n03710721: 泳装; maillot, tank suit
640: n03717622: 井盖; manhole cover
641: n03720891: 沙锤; maraca
642: n03721384: 马林巴琴; marimba, xylophone
643: n03724870: 面具; mask
644: n03729826: 火柴; matchstick
645: n03733131: 五月柱; maypole
646: n03733281: 迷宫; maze, labyrinth
647: n03733805: 量杯; measuring cup
648: n03742115: 医药柜; medicine chest, medicine cabinet
649: n03743016: 巨石; megalith, megalithic structure
650: n03759954: 麦克风; microphone, mike
651: n03761084: 微波炉; microwave, microwave oven
652: n03763968: 军服; military uniform
653: n03764736: 奶罐; milk can
654: n03769881: 小巴客车; minibus
655: n03770439: 迷你裙; miniskirt, mini
656: n03770679: 厢式货车; minivan
657: n03773504: 导弹; missile
658: n03775071: 连指手套; mitten
659: n03775546: 搅拌碗; mixing bowl
660: n03776460: 活动房屋; mobile home, manufactured home
661: n03777568: 福特T型车; Model T
662: n03777754: 调制解调器; modem
663: n03781244: 修道院; monastery
664: n03782006: 显示器; monitor
665: n03785016: 助力车; moped
666: n03786901: 研钵; mortar
667: n03787032: 学位帽; mortarboard（学位帽）
668: n03788195: 清真寺; mosque
669: n03788365: 蚊帐; mosquito net
670: n03791053: 摩托车; motor scooter, scooter
671: n03792782: 山地自行车; mountain bike, all-terrain bike, off-roader
672: n03792972: 登山帐篷; mountain tent
673: n03793489: 鼠标; mouse, computer mouse
674: n03794056: 捕鼠器; mousetrap
675: n03796401: 搬家货车; moving van
676: n03803284: 嘴套; muzzle
677: n03804744: 钉子; nail
678: n03814639: 颈托; neck brace
679: n03814906: 项链; necklace
680: n03825788: 奶嘴; nipple
681: n03832673: 笔记本电脑; notebook, notebook computer
682: n03837869: 方尖碑; obelisk
683: n03838899: 双簧管; oboe, hautboy, hautbois
684: n03840681: 陶笛; ocarina, sweet potato
685: n03841143: 里程表; odometer, hodometer, mileometer, milometer
686: n03843555: 机油滤清器; oil filter
687: n03854065: 管风琴; organ, pipe organ
688: n03857828: 示波器; oscilloscope, scope, cathode-ray oscilloscope, CRO
689: n03866082: 衬裙; overskirt
690: n03868242: 牛车; oxcart
691: n03868863: 氧气面罩; oxygen mask（氧气面具）
692: n03871628: 包裹; packet
693: n03873416: 船桨; paddle, boat paddle
694: n03874293: 桨轮; paddlewheel, paddle wheel
695: n03874599: 挂锁; padlock
696: n03876231: 画笔; paintbrush
697: n03877472: 睡衣; pajama, pyjama, pj's, jammies
698: n03877845: 宫殿; palace
699: n03884397: 排箫; panpipe, pandean pipe, syrinx
700: n03887697: 纸巾; paper towel
701: n03888257: 降落伞; parachute, chute
702: n03888605: 双杠; parallel bars, bars
703: n03891251: 公园长椅; park bench
704: n03891332: 停车计时器; parking meter
705: n03895866: 客车车厢; passenger car, coach, carriage
706: n03899768: 露台; patio, terrace
707: n03902125: 付费电话; pay-phone, pay-station
708: n03903868: 基座; pedestal, plinth, footstall
709: n03908618: 铅笔盒; pencil box, pencil case
710: n03908714: 卷笔刀; pencil sharpener
711: n03916031: 香水; perfume, essence
712: n03920288: 培养皿; Petri dish
713: n03924679: 复印机; photocopier
714: n03929660: 拨片; pick, plectrum, plectron
715: n03929855: 尖顶头盔; pickelhaube
716: n03930313: 栅栏; picket fence, paling
717: n03930630: 皮卡车; pickup, pickup truck
718: n03933933: 码头; pier
719: n03935335: 存钱罐; piggy bank, penny bank
720: n03937543: 药瓶; pill bottle
721: n03938244: 枕头; pillow
722: n03942813: 乒乓球; ping-pong ball
723: n03944341: 风车; pinwheel
724: n03947888: 海盗船; pirate, pirate ship
725: n03950228: 水罐; pitcher, ewer
726: n03954731: 木工刨; plane, carpenter's plane, woodworking plane
727: n03956157: 天文馆; planetarium
728: n03958227: 塑料袋; plastic bag
729: n03961711: 餐具架; plate rack
730: n03967562: 犁; plow, plough
731: n03970156: 通马桶泵; plunger, plumber's helper
732: n03976467: 拍立得相机; Polaroid camera, Polaroid Land camera
733: n03976657: 杆; pole
734: n03977966: 警用厢式车; police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria
735: n03980874: 披风; poncho
736: n03982430: 台球桌; pool table, billiard table, snooker table
737: n03983396: 汽水瓶; pop bottle, soda bottle
738: n03991062: 花盆; pot, flowerpot
739: n03992509: 陶轮; potter's wheel
740: n03995372: 电钻; power drill
741: n03998194: 祈祷毯; prayer rug, prayer mat
742: n04004767: 打印机; printer
743: n04005630: 监狱; prison, prison house
744: n04008634: 导弹; projectile, missile
745: n04009552: 投影仪; projector
746: n04019541: 冰球; puck, hockey puck
747: n04023962: 沙袋; punching bag, punch bag, punching ball, punchball
748: n04026417: 钱包; purse
749: n04033901: 羽毛笔; quill, quill pen
750: n04033995: 被子; quilt, comforter, comfort, puff
751: n04037443: 赛车; racer, race car, racing car
752: n04039381: 球拍; racket, racquet
753: n04040759: 散热器; radiator
754: n04041544: 收音机; radio, wireless
755: n04044716: 射电望远镜; radio telescope, radio reflector
756: n04049303: 雨水桶; rain barrel
757: n04065272: 房车; recreational vehicle, RV, R.V.
758: n04067472: 卷轴; reel
759: n04069434: 单反相机; reflex camera
760: n04070727: 冰箱; refrigerator, icebox
761: n04074963: 遥控器; remote control, remote
762: n04081281: 餐厅; restaurant, eating house, eating place, eatery
763: n04086273: 左轮、手枪; revolver, six-gun, six-shooter
764: n04090263: 步枪; rifle
765: n04099969: 摇椅; rocking chair, rocker
766: n04111531: 旋转烤肉架; rotisserie
767: n04116512: 橡皮擦; rubber eraser, rubber, pencil eraser
768: n04118538: 橄榄球; rugby ball
769: n04118776: 尺子; rule, ruler
770: n04120489: 跑鞋; running shoe
771: n04125021: 保险箱; safe
772: n04127249: 安全别针; safety pin
773: n04131690: 盐瓶; saltshaker, salt shaker
774: n04133789: 凉鞋; sandal
775: n04136333: 纱笼; sarong
776: n04141076: 萨克斯管; sax, saxophone
777: n04141327: 刀鞘; scabbard
778: n04141975: 秤; scale, weighing machine
779: n04146614: 校车; school bus
780: n04147183: 纵帆船; schooner
781: n04149813: 记分牌; scoreboard
782: n04152593: 显示屏; screen, CRT screen
783: n04153751: 螺丝; screw
784: n04154565: 螺丝刀; screwdriver
785: n04162706: 安全带; seat belt, seatbelt
786: n04179913: 缝纫机; sewing machine
787: n04192698: 盾牌; shield, buckler
788: n04200800: 鞋店; shoe shop, shoe-shop, shoe store
789: n04201297: 推拉门; shoji
790: n04204238: 购物篮; shopping basket
791: n04204347: 购物车; shopping cart
792: n04208210: 铲子、铁锨; shovel
793: n04209133: 浴帽; shower cap（淋浴帽）
794: n04209239: 浴帘; shower curtain
795: n04228054: 滑雪板; ski
796: n04229816: 滑雪面罩; ski mask（滑雪面罩）
797: n04235860: 睡袋; sleeping bag
798: n04238763: 计算尺; slide rule, slipstick
799: n04239074: 推拉门; sliding door
800: n04243546: 老虎机; slot, one-armed bandit
801: n04251144: 呼吸管; snorkel（潜水管）
802: n04252077: 雪地摩托; snowmobile
803: n04252225: 扫雪机; snowplow, snowplough
804: n04254120: 皂液器; soap dispenser
805: n04254680: 足球; soccer ball
806: n04254777: 袜子; sock
807: n04258138: 太阳能聚光器; solar dish, solar collector, solar furnace
808: n04259630: 宽边帽; sombrero
809: n04263257: 汤碗; soup bowl
810: n04264628: 空格键; space bar
811: n04265275: 取暖器; space heater
812: n04266014: 航天飞机; space shuttle
813: n04270147: 锅铲; spatula
814: n04273569: 快艇; speedboat
815: n04275548: 蜘蛛网; spider web, spider's web
816: n04277352: 纺锤; spindle
817: n04285008: 跑车; sports car, sport car
818: n04286575: 聚光灯; spotlight, spot
819: n04296562: 舞台; stage
820: n04310018: 蒸汽机车; steam locomotive
821: n04311004: 钢拱桥; steel arch bridge
822: n04311174: 钢鼓; steel drum
823: n04317175: 听诊器; stethoscope
824: n04325704: 披肩; stole（女用披肩，长围巾）
825: n04326547: 石墙; stone wall
826: n04328186: 秒表; stopwatch, stop watch
827: n04330267: 炉灶; stove
828: n04332243: 滤网; strainer
829: n04335435: 有轨电车; streetcar, tram, tramcar, trolley, trolley car
830: n04336792: 担架; stretcher
831: n04344873: 沙发床; studio couch, day bed
832: n04346328: 佛塔; stupa, tope
833: n04347754: 潜艇; submarine, pigboat, sub, U-boat
834: n04350905: 西装; suit, suit of clothes
835: n04355338: 日晷; sundial
836: n04355933: 太阳镜片（sunglass）; sunglass
837: n04356056: 太阳镜（sunglasses）; sunglasses, dark glasses, shades
838: n04357314: 防晒霜; sunscreen, sunblock, sun blocker
839: n04366367: 悬索桥; suspension bridge
840: n04367480: 拖把; swab, swob, mop
841: n04370456: 运动衫; sweatshirt
842: n04371430: 泳裤; swimming trunks, bathing trunks
843: n04371774: 秋千; swing
844: n04372370: 开关; switch, electric switch, electrical switch
845: n04376876: 注射器; syringe
846: n04380533: 台灯; table lamp
847: n04389033: 坦克; tank, army tank, armored combat vehicle, armoured combat vehicle
848: n04392985: 磁带播放机; tape player（磁带播放机）
849: n04398044: 茶壶; teapot
850: n04399382: 泰迪熊; teddy, teddy bear
851: n04404412: 电视; television, television system
852: n04409515: 网球; tennis ball
853: n04417672: 茅草屋顶; thatch, thatched roof
854: n04418357: 剧院幕布; theater curtain, theatre curtain
855: n04423845: 顶针; thimble
856: n04428191: 脱粒机; thresher, thrasher, threshing machine
857: n04429376: 王座; throne
858: n04435653: 瓦屋顶; tile roof
859: n04442312: 烤面包机; toaster
860: n04443257: 烟草店; tobacco shop, tobacconist shop, tobacconist
861: n04447861: 马桶座圈; toilet seat
862: n04456115: 手电筒; torch
863: n04458633: 图腾柱; totem pole
864: n04461696: 拖车; tow truck, tow car, wrecker
865: n04462240: 玩具店; toyshop
866: n04465501: 拖拉机; tractor
867: n04467665: 半挂卡车; trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi
868: n04476259: 托盘; tray
869: n04479046: 风衣; trench coat
870: n04482393: 三轮车; tricycle, trike, velocipede
871: n04483307: 三体船; trimaran
872: n04485082: 三脚架; tripod
873: n04486054: 凯旋门; triumphal arch
874: n04487081: 无轨电车; trolleybus, trolley coach, trackless trolley
875: n04487394: 长号; trombone
876: n04493381: 浴缸; tub, vat
877: n04501370: 旋转栅门; turnstile
878: n04505470: 打字机键盘; typewriter keyboard
879: n04507155: 雨伞; umbrella
880: n04509417: 独轮车; unicycle, monocycle
881: n04515003: 立式钢琴; upright, upright piano
882: n04517823: 吸尘器; vacuum, vacuum cleaner
883: n04522168: 花瓶; vase
884: n04523525: 拱顶; vault
885: n04525038: 天鹅绒; velvet
886: n04525305: 自动售货机; vending machine
887: n04532106: 法衣; vestment
888: n04532670: 高架桥; viaduct
889: n04536866: 小提琴; violin, fiddle
890: n04540053: 排球; volleyball
891: n04542943: 华夫饼机; waffle iron
892: n04548280: 挂钟; wall clock
893: n04548362: 钱包; wallet, billfold, notecase, pocketbook
894: n04550184: 衣柜; wardrobe, closet, press
895: n04552348: 军用飞机; warplane, military plane
896: n04553703: 洗脸盆; washbasin, handbasin, washbowl, lavabo, wash-hand basin
897: n04554684: 洗衣机; washer, automatic washer, washing machine
898: n04557648: 水瓶; water bottle
899: n04560804: 水壶; water jug
900: n04562935: 水塔; water tower
901: n04579145: 威士忌壶; whiskey jug
902: n04579432: 哨子; whistle
903: n04584207: 假发; wig（假发）
904: n04589890: 纱窗; window screen
905: n04590129: 窗帘; window shade
906: n04591157: 温莎领带; Windsor tie
907: n04591713: 酒瓶; wine bottle
908: n04592741: 机翼; wing
909: n04596742: 炒锅; wok
910: n04597913: 木勺; wooden spoon
911: n04599235: 羊毛; wool, woolen, woollen
912: n04604644: 蛇形栅栏; worm fence, snake fence, snake-rail fence, Virginia fence
913: n04606251: 沉船残骸; wreck
914: n04612504: 小帆船; yawl
915: n04613696: 蒙古包; yurt
916: n06359193: 网站; web site, website, internet site, site
917: n06596364: 漫画书; comic book
918: n06785654: 填字游戏; crossword puzzle, crossword
919: n06794110: 路标; street sign
920: n06874185: 红绿灯; traffic light, traffic signal, stoplight
921: n07248320: 书皮; book jacket, dust cover, dust jacket, dust wrapper
922: n07565083: 菜单; menu
923: n07579787: 盘子; plate
924: n07583066: 鳄梨酱; guacamole
925: n07584110: 清汤; consomme
926: n07590611: 火锅; hot pot, hotpot
927: n07613480: 水果蛋糕; trifle
928: n07614500: 冰淇淋; ice cream, icecream
929: n07615774: 冰棒; ice lolly, lolly, lollipop, popsicle
930: n07684084: 法棍; French loaf
931: n07693725: 贝果; bagel, beigel
932: n07695742: 椒盐卷饼; pretzel
933: n07697313: 芝士汉堡; cheeseburger
934: n07697537: 热狗; hotdog, hot dog, red hot
935: n07711569: 土豆泥; mashed potato
936: n07714571: 卷心菜; head cabbage
937: n07714990: 西兰花; broccoli
938: n07715103: 花椰菜; cauliflower
939: n07716358: 西葫芦; zucchini, courgette
940: n07716906: 意大利面瓜; spaghetti squash
941: n07717410: 橡子南瓜; acorn squash
942: n07717556: 冬南瓜; butternut squash
943: n07718472: 黄瓜; cucumber, cuke
944: n07718747: 洋蓟; artichoke, globe artichoke
945: n07720875: 甜椒; bell pepper
946: n07730033: 菜蓟; cardoon
947: n07734744: 蘑菇; mushroom
948: n07742313: 青苹果; Granny Smith
949: n07745940: 草莓; strawberry
950: n07747607: 橙子; orange
951: n07749582: 柠檬; lemon
952: n07753113: 无花果; fig
953: n07753275: 菠萝; pineapple, ananas
954: n07753592: 香蕉; banana
955: n07754684: 菠萝蜜; jackfruit, jak, jack
956: n07760859: 番荔枝; custard apple
957: n07768694: 石榴; pomegranate
958: n07802026: 干草; hay
959: n07831146: 培根蛋面; carbonara
960: n07836838: 巧克力酱; chocolate sauce, chocolate syrup
961: n07860988: 面团; dough
962: n07871810: 肉糕; meat loaf, meatloaf
963: n07873807: 披萨; pizza, pizza pie
964: n07875152: 肉馅饼; potpie
965: n07880968: 墨西哥卷饼; burrito
966: n07892512: 红葡萄酒; red wine
967: n07920052: 浓缩咖啡; espresso
968: n07930864: 杯子; cup
969: n07932039: 蛋奶酒; eggnog
970: n09193705: 高山; alp
971: n09229709: 气泡; bubble
972: n09246464: 悬崖; cliff, drop, drop-off
973: n09256479: 珊瑚礁; coral reef
974: n09288635: 间歇泉; geyser
975: n09332890: 湖畔; lakeside, lakeshore
976: n09399592: 海角; promontory, headland, head, foreland
977: n09421951: 沙洲; sandbar, sand bar
978: n09428293: 海岸; seashore, coast, seacoast, sea-coast
979: n09468604: 山谷; valley, vale
980: n09472597: 火山; volcano
981: n09835506: 棒球运动员; ballplayer, baseball player（棒球运动员）
982: n10148035: 新郎; groom, bridegroom
983: n10565667: 潜水员; scuba diver
984: n11879895: 油菜籽; rapeseed
985: n11939491: 雏菊; daisy
986: n12057211: 黄杓兰; yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum
987: n12144580: 玉米; corn
988: n12267677: 橡子; acorn
989: n12620546: 玫瑰果; hip, rose hip, rosehip
990: n12768682: 七叶树果实; buckeye, horse chestnut, conker
991: n12985857: 珊瑚菌; coral fungus
992: n12998815: 伞菌; agaric
993: n13037406: 鹿花菌; gyromitra
994: n13040303: 鬼笔菌; stinkhorn, carrion fungus
995: n13044778: 地星菌; earthstar
996: n13052670: 灰树花菌; hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa
997: n13054560: 牛肝菌; bolete
998: n13133613: 玉米; ear, spike, capitulum
999: n15075141: 卫生纸; toilet tissue, toilet paper, bathroom tissue
